,0,1,2,3,4,5,6,7,8,9,10,11
0,shortcode,username,followers,following,posts,hastags/text,timestamp of pic,timestamp when scrapped,url,likes,name,
1,BwgDnClDm4V,awesomemitten,85.1k,"1,351","2,666","Sometimes you just don\u2019t have words for the beauty right in front of your eyes. I was thinking about hope and redemption tonight on the eve of Jesus\u2019s resurrection. He died so we could live, so we could have hope, and patiently wait for the joy He desires to bring us. A landslide of love you might say, today creation reminded me of love and what better things God has in store for His children. What a savior ya know\n\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\u2022\n@puremichigan\n@michiganoverboard\n@michiganders\n@michiganawesome\n@michiganunsalted\n@only_in_michigan\n#michigansun\n#michiganders\n#michigan","1555813824,""",1555815352,https://scontent-ort2-1.cdninstagram.com/vp/459eac44184bf35a0de1c067c729ea42/5D36F746/t51.2885-15/e35/56862461_459786124756632_287457072445356105_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,34,34_bqbhihrzmn.jpg,
2,BwgAxEnHufQ,kribud20,225,508,"1,285","Easter Weekend 2019\n\n#photography #photographer #naturephotography #sunset #puremichigan #mittenlove #countryside""","1555812334,""",1555815353,https://scontent-ort2-1.cdninstagram.com/vp/69fb0716653cb2cfa6b1ada8a897c383/5D51CB7B/t51.2885-15/e35/56919350_347090722608209_8738139916027492508_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,10,10_vdqwmctgqd.jpg,
3,BwgAm0YFACt,zecoop1,385,302,"1,329","Bonfire number 3 for 2019!! In this close up, I see a bat face breathing fire towards me. What do you see? (Besides a bonfire). \ud83e\udd14\ud83d\ude0e\ud83d\udd25\n.\n#bonfire #backyard #bonfiresofinstagram #relaxation #bonfires #bonfirelove #summer #waititisntsummer #nature #naturalbeauty #naturephotography #michigan #mittenstate #michigrammers #mittenlove #mittigan #kalamazoo #swmichigan #puremichigan #bonfiring #bonfirelove""","1555812250,""",1555815354,https://scontent-ort2-1.cdninstagram.com/vp/ca6b5194b7e33412efa1de0e1960d2ce/5D33D47F/t51.2885-15/e35/56408664_354419382095090_9204220611492841316_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,7,7_yxopghtkzj.jpg,
4,BwgAXjIBH1S,olenakotko,"3,808",709,434,"After 4 days and 3 nights of backpacking, we hiked ~25 miles. We saw 6 bears and hiked / camped through 15 hours thunderstorm.  Despite the nights of holding the bear spray to dear life, and freezing and getting soaked wet through the thunderstorm, I'd do it again! This trip cleansed my mind and reminded me that the simplest things in life can make me happy | #virginia""","1555812125,""",1555815354,https://scontent-ort2-1.cdninstagram.com/vp/3266a4faafb6b43dcf0022fac71d263f/5D33DD2C/t51.2885-15/e35/56800919_2617682768246438_8178356734362112218_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,18,18_kofjvxvwtc.jpg,
5,BwgALvWDIin,,,,,"Grant and his horse \u2800\n\u2800\n#portraitphotography #portrait #portraiture #jaycees #puremichigan #motorcityshooters #michiganders #mittenlove #puremichigan #michigrammers #farwellmichigan #farwell #farwellmi #family #familyportraits #familysession #strobist #portraitphotography #portraitphotographyawards #portraitphotographys #portraits_ig #portraits_universe #portraitsession #portraitsfromtheworld #portraitshoot #portraitshot""",,,,,,
6,Bwf_tKJn4oj,N/A,N/A,N/A,N/A,"Had so much fun with @paintingsbyabby doing my first paint pour art and I love the way it turned out!""","1555811777,""",1555815355,https://scontent-ort2-1.cdninstagram.com/vp/4a69e6b77f9b71cf1e73a7fb6d140e41/5D4506DE/t51.2885-15/e35/56464458_117966106057422_3821501511536403668_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,32,32_povwrkdwkc.jpg,
7,Bwf8pbSgOyJ,hopandvineinn,446,199,113,"#LakeMichigan was fierce last night! .\nJust one of our favorite things about this happenin' lil town. Follow all the fun \u0026 adventures of #HopAndVineInn at the link in our bio.\ud83c\udfe1\ud83d\udd28\ud83c\udf73\ud83c\udfd6\ufe0f\ud83c\udfd0""","1555810174,""",1555815355,https://scontent-ort2-1.cdninstagram.com/vp/3fdb3c0cac481f9411ed11433e0dea0a/5D5A08B5/t51.2885-15/e35/56565493_410359269512177_6139943437535436963_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,16,16_abdtediqeo.jpg,
8,Bwf7-SSAtfq,awesomemitten,85.1k,"1,351","2,666","I found my beach \ud83d\ude0d Did you find yours?!?\n.\nSunset 4-19-19\n.\n\""For I know the plans I have for you\"" Jer. 29:11\n.\n.\n.\n.\n.\n.\n.\n#puremichigan #saugatuck #michiganbeaches #michiganders #greatlakeslocals #raw_beaches #raw_waters #raw_community_members #raw_usa #womenwhoexplore_michigan #raw_moody #raw_seasons #raw_allnature #raw_alltrees #moodycaptures #michigan_view #puremittigan #mittenlove #rebels_nature #jj_nature""","1555809820,""",1555815356,https://scontent-ort2-1.cdninstagram.com/vp/02583aafc46a377dfb0f09079a8be2e1/5D46650D/t51.2885-15/e35/57156310_625365221269858_3369368109050000583_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,14,14_cwnzkvydak.jpg,
9,Bwf62yTgS3S,targetstyle,2.1m,785,"2,025","Feeling sore today but also so STRONG!\ud83d\udcaa\ud83c\udffc working on my health and fitness is hard work but So WORTH IT!!\ud83d\ude4c\ud83c\udffd .\n.\n.\nI spy baby Rae Rae\ud83d\udc76\ud83c\udffc""","1555809235,""",1555815357,https://scontent-ort2-1.cdninstagram.com/vp/9cfe9e81ce925a195aa3e5c3094199d1/5D715637/t51.2885-15/e35/56811534_2188664187879060_4275557864829778731_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,10,10_joohixecnw.jpg,
10,Bwf6U1aA2S_,cabowrn,304,313,192,"Michigander Easter ham at it\u2019s absolute finest. Dearborn ham basted in Vernors. #mittenlove #alltheyum #michiganproud #getinmybelly #easter2019""","1555809185,""",1555815357,https://scontent-ort2-1.cdninstagram.com/vp/408f511e021e879d0e2cc1d09b8b6ac5/5CBDDFA1/t51.2885-15/e35/56428405_322838228611647_7922328757163399528_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,6,6_xyhzosfofg.jpg,
11,Bwf6eS-AvJL,amberkarrels,159,191,59,"A quiet beach all to myself was a perfect way to end this super busy and productive Saturday. It had been a while.""","1555809034,""",1555815358,https://scontent-ort2-1.cdninstagram.com/vp/fc9d5a83ca36abe3279c5fa298e05a8c/5D39E109/t51.2885-15/e35/57009221_1175638285930524_4068440842606740773_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,10,10_vuhtkojotw.jpg,
12,Bwf6CRDlrsI,autenriethfarm,226,358,154,"Freeeeeedom!!!!\nToday was the day y'all! These ladies got the boot from the winter coop and are in the summer coop on pasture! Man, this felt so good to get done today! \ud83d\ude4c\ud83d\udcaa\nThese girls were so ready to get out and we were so excited that we had this GORGEOUS day to get them out. \ud83d\ude4f\u2600\ufe0f\ud83d\ude0e\nThe girls will be out all summer and we'll move them to fresh pasture every couple of days. They'll get the benefit of fresh grass and bugs galore and we get the benefit of chicken manure on our pasture. #winwin \ud83d\udc4d\nDon't worry, the coop is now covered, we left it uncovered to help coax the girls into the coop. The move went without a hitch which for anyone who farms knows what an event that is! \ud83e\udd17 \nI love the girls in the coop that couldn't give a crap about being moved (they're the ones just walking around as jeff pulls them with ","1555808804,""",1555815358,https://scontent-ort2-1.cdninstagram.com/vp/7b51649a86fb4a73e25d6e9271d9b603/5D75507E/t51.2885-15/e35/56334811_351293335504695_76596359099719641_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,7,7_vfwongjphr.jpg,
13,Bwf5Uq6g2cV,puremichigan,651.6k,506,"2,564","Walk this way say the leaning trees\n...\n#puremichigan #ludingtonstatepark #pureludington #hiking #trees #adventure #michiganawesome #puremittigan #mittenlove #landscape #lostlaketrail #exploretocreate #trails""","1555808431,""",1555815359,https://scontent-ort2-1.cdninstagram.com/vp/3238f5e549a236d15dd6b8e833711235/5D766BA0/t51.2885-15/e35/56781290_130738721421091_7458678844832996165_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,17,17_kgwdymlqqr.jpg,
14,Bwf4S1zBQXw,instagood,841.9k,"5,185","5,114","\u201cNot everything that counts can be counted.\u201d - Albert Einstein .\n.\n.\n#greatlakes #greatlakesstate #michigan #michigansun #michiganders #michiganstate #mlive #letswinter #mittenstate #mittenlove #frozen #newyork #nyc #midwestmoment #lakemichigan #westmichigan #vsco #traveldiaries #travel #traveling #instatravel #instagood #travelling #newyork #instapassport #instatraveling #igtravel #hike #landscape #nature #instapic""","1555807892,""",1555815360,https://scontent-ort2-1.cdninstagram.com/vp/fa4d15e06914dfb1da64b06f9620ac52/5D365083/t51.2885-15/e35/56601207_339879920219958_6802453845908115641_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,46,46_jejaqfgtbn.jpg,
15,Bwf3AwLjcsJ,awesomemitten,85.1k,"1,351","2,666","Hi, my face still hurts from the wind.""","1555807219,""",1555815361,https://scontent-ort2-1.cdninstagram.com/vp/3df2d53b91b3f645eb16591aa81b28dd/5D333E3A/t51.2885-15/e35/56770851_579873592496207_2465229459729843731_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,16,16_htsajcjhgi.jpg,
16,Bwf28vonCtJ,treestrees,241,214,"1,104","#sunsetfromhanhan 4/20/2019 Sun #sunset #sky #nature #igerslansing #lansingrams #puremichigan #mittenlove""","1555807186,""",1555815361,https://scontent-ort2-1.cdninstagram.com/vp/881c5bbbc2f373877705b81fd31f15e6/5D3C8984/t51.2885-15/e35/56527935_2305476216392222_2830179007824008686_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,8,8_ykzegrmznr.jpg,
17,Bwf2tnpn0l_,treestrees,241,214,"1,104","#sunsetfromhanhan \u597d\u559c\u6b22\u8fd9\u4e00\u5f20\uff01\u770b\u5230\u5929\u7a7a\u8fd9\u4e48\u7f8e\uff0c\u4e00\u4e0b\u5b50\u5fc3\u60c5\u5c31\u597d\u5566\uff01\ud83d\ude0a 4/20/2019 \u5468\u516d #sunset #sky #clouds #igerslansing #lansingrams #puremichigan #mittenlove #nature""","1555807062,""",1555815362,https://scontent-ort2-1.cdninstagram.com/vp/adb48486f646690c2b3e0b0a2fbae8e8/5D722C2D/t51.2885-15/e35/57738915_2003615829945466_6273035763690279654_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,5,5_flsccqouux.jpg,
18,Bwf1Tp9FH34,livekellyandryan,1.3m,28,"7,645","Happy Easter!  Birdie\u2019s first visit with the Easter Bunny at @bronnerschristmas. Just can\u2019t get enough of that face.  #happyeaster @theblondeukulele""","1555806325,""",1555815362,https://scontent-ort2-1.cdninstagram.com/vp/8c2a03380869d1aa8a60cab6647801cf/5D50DE62/t51.2885-15/e35/58409962_594905111008619_967293611968954342_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,25,25_huggpwytsh.jpg,
19,Bwf0p9nH1KI,djanim._06,"1,479",261,12,"\u201cWhat\u2019s coming will come and we\u2019ll face it when it does.\u201d - Hagrid\n.\n.\n.\n#puremichigan #michiganlighthouses #puremittenpride #michiganders #wearemichiganders #michiganunsalted #lighthouse #lighthouses #lighthouse_lovers #picoftheday #adventureswithkids #naturephotography #lighthousesofinstagram #bridge #michiganlakes #nature #naturelover #lakemichigan #beach #adventure #wanderlust #traversecity #gooutside #michiganoutdoors #playoutside #instatravel #instacool #familyadventures #mittenlove #nature_good""","1555805984,""",1555815363,https://scontent-ort2-1.cdninstagram.com/vp/69f440dd4a36fd4edb368cb479c60a9b/5D777267/t51.2885-15/e35/56980917_634568233685500_6758654045742258102_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,12,12_jkiohrggwl.jpg,
20,BwfySa_h_MA,helporphanpuppies,12k,"1,701",395,"So ready for camp fires and warm weather!! \ud83d\udc3e\n\ud83d\udc3e\n\ud83d\udc3e\n\ud83d\udc3e\n#doggie #rescuepup #madeinthemitten #lovemyrescue #rescuedog #rescuedogsofinstagram #puppylove #puppiesofinstagram #doggo #dogsofmichigan #dogsofinstagram #upnorth #freshcoast #bestcoast #mittenlove""","1555804743,""",1555815364,https://scontent-ort2-1.cdninstagram.com/vp/9b1b0189c2266d7e2920af2db20c5ecb/5D5448FC/t51.2885-15/e35/57261127_1222192087937010_1813671527173949520_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,11,11_qncwkylfut.jpg,
21,BwfxKDaApZM,,,,,"It was all about those clouds today! I was in awe! \ud83d\udc99\u26c5\ufe0f\n.\n.\n.\n.\n#puremichigan #thegreatlakesstate #michiganawesome #puremittigan #mittenlove #michiganders #puremittenpride #mustbemichigan #inspiredbymichigan #onlyinmichigan #michiganview #puremichiganders #naturalmichigan #michigansun #mibeachtowns #greatlakesproud #michiganoverboard #MIBerrien #michiganderthreads #michiganunsalted #michigrammers #canonusa #landscapes #clouds #Renegade_Rural #rsa_rural #raw_country #mcl_rural #sunnydays #hey_ihadtosnapthat""",,,,,,
22,BwfwIoZF0Kq,journeyacademygr,407,391,212,"Students are the future, but what's the future for students? To arm them with the relevant, timeless skills for our rapidly changing world, we need to revolutionize what it means to learn. Want to learn what holds the key for unlocking the learning potential inside every student?\nLearn more at:\njourneyacademy.org .\n.\n.\n.\n #grandrapidsdaily #experiencegr #grkids #michiganmom #eastgrandrapids #learnbydoing #learningthroughplay #socraticmethod #adamichigan #reggioclassroom #crunchymom #parenting #sudburyschool #honeschoollife #classicalconversations #montessorikids #montessoriathome #montessori #playbasedlearning #puremichigan #mittenlove #greatlakes #mittensup #michiganlove #michiganpride #michigan #michiganders #grandrapids #journeyacademygr #education""","1555803622,""",1555815365,https://scontent-ort2-1.cdninstagram.com/vp/8f9bf409b6ae8d4cd742f9b2a7c25b0f/5CBE7007/t51.2885-15/e35/57374598_120918272426317_6424190873321128634_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,18,18_iuexbicgvg.jpg,
23,BwfvC62gAIr,poddy_ali,"1,555",535,"2,701","Need to move or have something moved! Call \""Edge Moving Services\"" today! 616.516.1236 - Great rates! Let's negotiate! \n#grandrapids #michigan #puremichigan #westmichigan #experiencegr #grandrapidsmi #kentwoodmichigan #foresthillsmichigan #eastgrandrapids #gaslightvillage #grmi #wyomingmi #wyomingmichigan  #grandrapidsdaily #michiganders  #rockfordmi #rockfordmichigan #ilovegr #thegrguide #adavillage #mittenlove #love #montessorikids #cedarspringsmichigan  #cascademi #grmom #michiganpride #journeyacademygr #classicalconversations""","1555803043,""",1555815365,https://scontent-ort2-1.cdninstagram.com/vp/865ae23117b70f7e7a0e2cec5ac71c37/5D423935/t51.2885-15/e35/57414272_2250421415207081_7964901119139042008_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,5,5_rdzjhubton.jpg,
24,BwfsFQ7A_Da,greatlakesgirls,"2,848",857,311,"Always choose grapefruit""","1555801489,""",1555815366,https://scontent-ort2-1.cdninstagram.com/vp/3262c92e259c7885d893fa045cb4a658/5D737AB6/t51.2885-15/e35/57104318_718629778553596_713005922853966187_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,70,70_bibgqzrpjr.jpg,
25,BwfrESqF7IZ,britts_pixels,"1,183","1,737",188,"\ud835\ude72\ud835\ude98\ud835\ude9d\ud835\ude9d\ud835\ude98\ud835\ude97 \ud835\ude72\ud835\ude8a\ud835\ude97\ud835\ude8d\ud835\udea2 \ud835\ude82\ud835\ude94\ud835\udea2.. \ud835\udcdc\ud835\udcea\ud835\udcf0\ud835\udcf2\ud835\udcf0\ud835\udcea\ud835\udcf5 \u2728\ud83d\udc95\n.\n.\n.\n.\n.\n #world_bestnature \n#puremichigan\n#puremittigan \n#puremittenpride \n#worldbestshot \n#sunset_stream \n#mittenlove \n#mittenstatelove\n #michigander \n#michiganders \n#fav_skies \n#naturephotography \n#michiganphotographer \n#sunset \n#michigan_lovers_photos \n#great_captures_sun \n#michigan_view \n#raw_skies \n#water_brilliance  #enjoymichigan\n #capturingmichigan\n #michiganguide\n #nowyouseephotos \n#raw_seasons \n#michiganawesome\n#michigansun \n#puremittigan\n#refletiongram \n#puremichiganders\n#earth_reflect""","1555800957,""",1555815367,https://scontent-ort2-1.cdninstagram.com/vp/00db4183cea90b825b5f24842834e61c/5D570398/t51.2885-15/e35/57506241_133119841103742_8239405278538946161_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,139,139_zbbjhzvcoz.jpg,
26,BwfnFxNAc5H,thecomedyprojectgr,405,126,53,"We have such a fun business to connect you all with today! @thecomedyprojectgr has such a great venue and is bringing some fun things to the table! Make sure to read more on the block by clicking the link in our bio!""","1555798872,""",1555815367,https://scontent-ort2-1.cdninstagram.com/vp/e28ab6c3be897939eeda477086f9e12e/5D52C369/t51.2885-15/e35/57870490_215287709430221_3758986178158249455_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,34,34_fhrrnkyhyr.jpg,
27,BwfmxvwFsC4,ponyboytattoos,"6,332","3,312","1,253","I only have 5 more spots left available in july. Book now or forever hold your peace!\n\nI'm going to be raising my prices again for august and beyond and im going to be getting even more selctive in what kind of tattoos im accepting since my time has become so limited.\n\nI appreciate your understanding and support as always and I look forward to doing a ton of awesome tattoos with you all this summer.\n\nMessage me to set up an in-person consultation my books are filling up quick.""","1555798813,""",1555815368,https://scontent-ort2-1.cdninstagram.com/vp/55732de9c181638acd8d5e5fcb12bed7/5CBE1153/t51.2885-15/e35/56436553_571844426641732_5160307673479755428_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,21,21_uajnhcqxdf.jpg,
28,Bwfl51gDljJ,abbeydances_,"2,634",342,97,"NO MORE DENIALS!\n\nComment or Dm for more info. \ud83d\udd25""","1555798250,""",1555815369,https://scontent-ort2-1.cdninstagram.com/vp/40629a1ed7eda5f1f162c1d44c1b19dd/5D35BE38/t51.2885-15/e35/56981969_1105070573012886_2551330672421401776_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,23,23_fucdpvfrvi.jpg,
