,0,1,2,3,4,5,6,7,8,9,10,11
0,shortcode,username,followers,following,posts,hastags/text,timestamp of pic,timestamp when scrapped,url,likes,name,
1,BwP5eaygh_p,imagesbykristin,204,62,173,"Drip drip drop \ud83d\udca6\n.\n.\n#puremichigan #michigan #michiganphotography #michiganphotographer #greatlakes #greatlakesstate #photography #midwestphotography #greatlakesphotography #letswinter #snow #optoutside #hiking #adventure #exploring #traversecity #ig_wintershots #ig_nature #dof_nature #beulah #dof_addicts""","1555271640,""",1555271767,https://scontent-ort2-1.cdninstagram.com/vp/6156b42bc4594a0209badee46dd76545/5D4DAEBE/t51.2885-15/e35/s1080x1080/56395273_440076836764427_2399450504152941626_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,1,1_rtxdmzbqoz.jpg,
2,BwP4lmCnjNM,ryebread75,"1,351","3,313","3,192","Think I drank too much wine! \ud83e\udd23\ud83c\udf77 @blackstarfarms #lmao #blackstarfarms #wine #traversecity #puremichigan #winetasting #northernmichigan #mittenstate #greatlakesstate #michiganders #winery""","1555271407,""",1555271769,https://scontent-ort2-1.cdninstagram.com/vp/d45307ec15e86daf8b0aa9c7e9dfd714/5CB62C96/t51.2885-15/e35/57267804_2154130984652124_6427025519243273916_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,4,4_bbgjzifzsn.jpg,
3,BwP4DClhRIP,rangertugs,"1,587",35,65,"Time to go home!\nAfter three-and-a-half months soaking up Florida\u2019s sunshine and tropical warmth, I'm looking forward to getting home.\n\nWe\u2019ll be just in time to watch spring arrive to color things up after a long, cold and very white winter in northern Michigan \u2013 or so I\u2019m told. Home is where our family is and where we grow surrounded by love. I am looking forward to taking showers in my own bathroom, using a dishwasher, washing clothes in our laundry room, and most of all climbing into that roomy king-sized bed.\n\nIt happens every time we take off for parts unknown. We leave home to seek an adventure, get closer to nature and either reconnect with our friendly boating community, or to make new connections. Invigorated by setting out, towing our boat here or there, often-times with new navigation courses charted, we enjoy living mostly outside.\n\nHowever, just as","1555270891,""",1555271770,https://scontent-ort2-1.cdninstagram.com/vp/5e9e45db1de09116094cd290fe1407a2/5D3CCB22/t51.2885-15/e35/56686081_312758402733363_4087237757141844472_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,1,1_gnkzulennc.jpg,
4,BwP3vv0gGYy,abitofthemitt,780,855,282,"Diet starts on Monday\ud83d\udc37\n*\n*\n*\n*\n*\n*\n*\n#traversecity \n#hambonz \n#traversecityfood \n#michigan\n#diner\n#greasyspoon \n#michnimal \n#minimal \n#signage \n#bbq \n#smokedmeat \n#foodie\n#puremichigan \n#michiganrestaurant \n#downtowntc \n#upnorth\n#goodeats \n#redandwhite \n#gtliving \n#traversecitymi \n#8thstreet""","1555270733,""",1555271772,https://scontent-ort2-1.cdninstagram.com/vp/fca6582d4c653dcbcdc9439b9f2f7b3a/5D43327F/t51.2885-15/e35/56587707_2326883047634215_4209168230262234850_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,2,2_jxpxgwtlsu.jpg,
5,BwP1oZBhY_J,littlegravesband,176,46,87,"Tonight!!! Tune in to our chat around 7 with the South of the Straits guys if you\u2019re curious about the mysterious inner workings of Little Graves ;) link to the YouTube Livestream below. Call in at this number if you feel inclined to join in the discussion! We\u2019re stoked! \n231-534-4909\nhttps://m.youtube.com/channel/UCRqGeD20Zg6KqfnaJXtMIMA/featured""","1555269624,""",1555271773,https://scontent-ort2-1.cdninstagram.com/vp/bdf1dd798ea4a0683726d45bff519d16/5D2D20E7/t51.2885-15/e35/56536435_404834713429304_9037900473545990255_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,3,3_hmxbqfuydd.jpg,
6,BwP1j0HnK5p,ryebread75,"1,351","3,313","3,192","\ud83e\udd23\ud83d\ude33 Trespassing! #asylum #traversecity #michigan #traversecitystatehospital #twilighttour #northermichiganasylum""","1555269587,""",1555271774,https://scontent-ort2-1.cdninstagram.com/vp/cb37cea471a2ca648602809db738a6c2/5CB6566B/t51.2885-15/e35/55837774_548543758887243_7204876290048171986_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,4,4_ffhalurber.jpg,
7,BwP1ji4BXX5,dannearing,396,932,212,"A wonderful time in Traverse City with Jen.\n#traversecity""","1555269585,""",1555271775,https://scontent-ort2-1.cdninstagram.com/vp/b307761c55e56fc9a48c50a27f4508d3/5D45E198/t51.2885-15/e35/56242989_228630124785839_7146241147412658916_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,2,2_xngclzdess.jpg,
8,BwP1ZDxnQFh,nmb113,326,329,547,"Not just friends, but family \ud83d\udc9c\ud83d\udc9c\ud83d\udc9c loved spending time together and celebrating @kristimartin26 bday early! \n#family #itsatribe #traversecity #justmichiganthings #selfwe #birthday #happy #love""","1555269499,""",1555271776,https://scontent-ort2-1.cdninstagram.com/vp/14cdc355534f246138cba03f1cd322aa/5D44F23F/t51.2885-15/e35/57350507_174613413529450_1357862189877520597_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,3,3_nicalerhyy.jpg,
9,BwP0sCrHgzy,williamldeskins,136,401,2,"Went to the old traverse city regional psychiatric hospital today. Now grand traverse commons, which has been remodeled with shopping, and restaurants! #traversecity #traversecitystatehospital #asylum #northernmichigan #staycation #michigan #puremichigan #mittenstate #northernmichiganasylum""","1555269130,""",1555271776,https://scontent-ort2-1.cdninstagram.com/vp/ccd8d195e08e0ee50a0cee4a67fcef4d/5D4B1BE0/t51.2885-15/e35/55752846_315430162434121_6345831254823331739_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,8,8_atwvhhmahk.jpg,
10,BwP0IMphFKR,belizecash,159,404,253,"Lazy Sunday...spring is taking too long to arrive in Northern Michigan.""","1555268836,""",1555271778,https://scontent-ort2-1.cdninstagram.com/vp/0ff4063be0e4a0b90a88aa4b04ab92d2/5D2DDA23/t51.2885-15/e35/56436561_2262200624108839_4765066260558807042_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,10,10_axbwuusczh.jpg,
11,BwPzObejBQ0,melissascott9564,31,129,56,"Is anyone else getting ready for the Game of Thrones premiere tonight? Zach and I haven\u2019t finished our rewatch of the whole series yet and he asked me this morning if we wanted to start season 8 tonight or wait until the whole season was out and then watch it. I told him there\u2019s no way we\u2019d be able to wait without finding out any spoilers so we should just start it tonight.\n\nWhat\u2019s everyone else doing? Anyone else hate waiting for each episode every week and thinking of waiting until the whole season is out?\n\nHOST: @styledshootsacrossamerica\nPLANNING \u0026 DESIGN: @heatherbengeevents\nVENUE: @2400ontheriver\nGOWNS: @enaurabridal""","1555268363,""",1555271779,https://scontent-ort2-1.cdninstagram.com/vp/e6fbe164db4dca9fdce618ba8f743ed2/5D37479F/t51.2885-15/e35/56189725_121729579003849_6517124490250538266_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,61,61_budpgjnjpu.jpg,
12,BwPyoTQHmET,mirelegrey,681,743,"2,415","French toast com maple syrup \ud83c\udf41\n.\nReceita super f\u00e1cil e fica uma delicia para o caf\u00e9 da manh\u00e3 ou lanche da tarde.\n.\n6 fatias de P\u00e3o de forma\n2 ovos\n400 ml de Leite\nPitada de sal\n1 c. Sobremesa de A\u00e7\u00facar mascavo (pode usar outra)\nCanela em p\u00f3 a gosto\n.\nBata os ovos, acrescente os outros ingredientes e bate mais um pouco.\nNuma frigideira coloque um pouco de manteiga e deixe esquentar. \nPasse a fatia do p\u00e3o \ud83c\udf5e nos ovos batidos uma a uma e coloca na frigideira. Deixa dourar bem e vira.\n\nProntinho! S\u00f3 servir com maple syrup, manteiga ou alguma fruta da sua prefer\u00eancia.\nFica muito bom com bananas picadas.\nEnjoy! \u263a\ufe0f""","1555268051,""",1555271780,https://scontent-ort2-1.cdninstagram.com/vp/7da0c983b2a90fc43b3fbc70f1d6acbe/5D4B3CEF/t51.2885-15/e35/56189734_2195621303879487_8628409179711792885_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,4,4_kahvbflooc.jpg,
13,BwPyWbYB-Zj,dinazurawski,153,271,159,"Need coffee? We\u2019ve got nice coffee. Great Lakes Roasting Company fresh brewed and for sale. We\u2019ll grind it for you! #coffee @greatlakescoffee #traversecity #grabandgo @downtown_tc @tclofts""","1555267904,""",1555271781,https://scontent-ort2-1.cdninstagram.com/vp/e46068fb1855b008e3cf56f98c2315a9/5D4F078E/t51.2885-15/e35/54800540_128442404922326_8955480225123363158_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,11,11_knicykcnzw.jpg,
